哦	o2，真不走运。	Oh, that's tough luck.
把戏	别玩老一套的ba3xi4了！	Don't play old tricks!
私奔	她与老板si1ben1了.	She ran away with her boss/She and her boss ran away (together).
无须	也wu2xu1柏树来荫覆。	Nor shady cypress tree.
虚弱	她xu1ruo4得站不起来.	She was too weak to stand.
海口	如果他真地要你当众收回hai3kou3，那你也是活该；你本不该那样自吹自擂。	It serves you right if he did make you eat the leek in public; you should not be so boastful.
海伦	hai3 lun2在快餐店里点了炸鸡和色拉。	Helen ordered both fried chicken and salad in the fast-food restaurant.
冲出	汽车chong1chu1路面，陷进沟里。	The car careered off the road into a ditch.
顺眼	如果我是你，我现在就不会进去找他。他这会儿心情不好，见谁骂谁，看什么都不shun4yan3。	I shouldn't go in and see him now if I were you. He's having one of his bad days, swearing at everything and everyone.
特此	我te4ci3宣布，她当选了。	I hereby declare her elected.
咖喱	你在ga1li2食品中放了多少辣椒?	How much chilli did you put in the curry?
早年	这一章的标题是｀我zao3nian2的生活＇.	The chapter was headed My Early Life'.
奋战	他奋力开出一条生路；他fen4zhan4一生。	He fought his way through life.
日语	我的Ri4yu3相当差。	My knowledge of Japanese is rather poor.
往年	今年的稻米产量高于wang3nian2平均产量的百分之十五。	The rice crop this year is15 percent above the average.
吉利	为讨ji2li4我老是带著一个.	I always carry one for luck.
人身	这事可能发生在任何ren2shen1上。	It can happen to anyone.
扫除	由于进行大sao3chu2，屋里的一切弄得乱七八糟。	Everything in the house was turned upside down for the cleaning.
香皂	他用xiang1zao4洗手。	He washed his hands with a toilet soap.
洗衣机	她送给我们一台xi3yi1ji1.	She gave us a washing-machine.
不为人知	他的秘密至死也bu4 wei2 ren2 zhi1，因为他从未告诉过别人。	His secret died with him, for he never told anyone.
伤亡	shang1-wang2太大, 我们不得不撤退。	We have to draw off because of losses of forces.
喵	我们听到猫的miao1miao1叫声。	We heard the mewing of a cat.
通告	该tong1gao4将於明日见报.	The announcement will appear in tomorrow'snewspapers.
无私	对世界领袖的正直wu2si1的普通尊敬的瓦解	The collapse of popular respect for the integrity of world leaders.
有益	体育运动you3yi4健康。	Athletic sports are good to the health.
物体	立方体是三维wu4ti3。	A cube is a three-dimensional object.
餐桌	这些can1zhuo1是纵向摆放的。	The tables were laid lengthwise.
日夜	公共汽车ri4ye4都有班次。	The bus service runs day and night.
财经	美元突然贬值, cai2jing1专家无不大伤脑筋.	The sudden fall in the value of the dollar has puzzled financial experts.
介入	出于个人利益考虑, 男子开始jie4ru4女子的工作领域。	Men begin to enter female jobs out of consideration for personal interest.
早期	他们是一群zao3qi1的航海家。	They were a group of early navigators.
邋遢	穿衣随便，穿着la1ta5	Casual or lounging attire.
举止	我倒喜爱她那古怪的ju3zhi3.	I love her nutty behaviour!
分成	我们可以把动物fen1cheng2很多种类。	We can group animals into many types.
喜好	｀你喝茶有什麽xi3hao4?＇｀我喜欢淡一些的.＇	`How do you like your tea?' `I like it rather weak.'
常规	依照chang2gui1大臣在这种情况下应该辞职.	Convention dictates that a minister should resign in such a situation.
富人	门杜萨一生享有极高的声誉。穷人和fu4ren2都崇敬他。	In his day, Mendoza enjoyed tremendous popularity. He was adored by rich and poor alike.
成千上万	参观的人cheng2qian1-shang4wan4, 把台阶踩得不像样子了.	The steps had been worn away by the feet of thousands of visitors.
足足	我们在一场竞赛中赢了zu2zu2500英镑.	We won 500, no less, in a competition.
召集	他zhao4ji2了所有的部队.	He mustered all the troops.
余地	假如我有选择的yu2di4, 我三十岁就退休.	If I had the choice, I would retire at thirty.
就绪	宴会的准备工作现在都已jiu4xu4。	Everything is ready now for the party.
裂	这种木材容易lie4.	This wood cleaves easily.
拉丁	伦巴舞是La1ding1美洲的舞蹈.	The rumba is a Latin-American dance.
黄油	她探身去取放在餐桌对面的huang2you2。	She stretched across the table for the butter.
渡	钓鱼的人du4水到河中央去了.	The angler waded (out) into the middle of the river.
娘娘腔	别的男孩都叫汤米niang2niang5qiang1的男孩因为没有母亲在旁他就不肯出来玩。	The other boys called Tommy a mama's boy because he wouldn't come out to play unless his mother stayed near him.
激素	植物生长素一种调节多种功能，包括细胞伸长的植物ji1su4	Any of several plant hormones that regulate various functions, including cell elongation.
朝着	我相信通过双方的努力，交易往来定会chao2zhe5互利的方向发展。	I am convinced that with joint effort, business between us will be developing to our mutual benefit.
遗弃	被配偶yi2qi4是离婚的理由吗？	Does desertion ground for divorce?
午觉	父亲下午总要睡个wu3jiao4。	Father always takes a nap in the afternoon.
阿拉伯	阿布扎比A1la1bo2东部波斯湾上的一酋长国和城市。为A1la1bo2联合酋长国的首都。因为有大量的石油收入，该酋长国为世界上人均收入最高的国家之一。人口242，975	A sheikdom and city of eastern Arabia on the Persian Gulf. The city is the capital of the federated United Arab Emirates. With enormous oil revenues, the sheikdom has one of the highest per capita incomes in the world. Population, 242,975.
无所事事	新学期开学前，我一直wu2 suo3 shi4 shi4。	I'm just kicking my heels until the beginning of the new term.
穷人	他对qiong2ren2的慷慨为人所熟知。	His generosity to the poor is well known.
面对面	我们要mian4dui4mian4的研究一下这种情况。	We must discuss the situation eyeball to eyeball.
才能	你需用快刀cai2neng2把结切断.	You need a sharp knife to cut through the knot.
建国	按照古老的传说，罗穆卢斯是古罗马的jian4guo2者。	According to the old legend, Romulus was the founder of Rome.
水准	国民财富在很大程度上取决于一个国家的教育shui3zhun3。	National wealth depends to a high degree on a country's educational standard.
结冰	水在摄氏零度jie2bing1。	Water freezes at 0 Celsius degree.
看穿	他好像起了疑心--你觉得他kan4chuan1我们[我们要干的事]了吗?	He looks suspicious do you think he's rumbled us/what we're up to?
听众	他被ting1zhong4嘘下台来。	He was hissed off by the audience.
耻辱	他认为向他人乞求救济是chi3ru3。	He thinks it's a shame to beg others for alms.
布朗	玛丽·杜瓦尔夫人转交彼得·Bu4lang3先生.	Mr Peter Brown c/o Mme Marie Duval....
北部	他的家在这个城市的东bei3bu4。	His house is in the northeast of this city.
远处	yuan3chu4雷声隆隆。	The thunder rumbled in the distance.
每当	mei3dang1谈到我开车违章判罪问题时，我妻子忍不住要以此事当面责备我。	Every time the subject of my motoring conviction comes up my wife can't help throwing it in my face.
班长	ban1zhang3确实比我们略胜一筹。	The monitor is really a notch above us.
联合国	Lian2he2guo2大会是一种世界性的集会。	The United Nations assembly is a cosmopolitan gathering.
橙色	燃烧著的煤开始发出了黄色与cheng2se4的火焰.	The burning coals started to flame yellow and orange.
亡	她安葬在wang2夫的墓旁.	She was laid to rest beside her late husband.
翻身	你翻fan1shen1, 就容易睡著了.	If you turn over you might find it easier to get to sleep.
河流	他们担心he2liu2会发洪水。	They were fearful that the river would flood.
起立	听众全体qi3li4向演讲者欢呼.	The audience rose bodily to cheer the speaker.
玩耍	孩子们在沙坑中wan2shua3。	The children were playing in the sand pit.
毛线	她递给我一绞mao2xian4。	She passed me a skein of wool.
雇用	我们必须通过智力测验才能被老板gu4yong4。	We must pass an intelligence test before being hired by the boss.
暗杀	甘地，穆罕达斯·卡拉姆昌德1869－1948印度民族主义者和精神领袖，推动了非暴力不抵抗运动并迫使英国于1947年允许印度独立，被一个印度教狂热分子an4sha1	Indian political leader who served as prime minister(1966-1977) and(1980-1984). She was assassinated by Sikh extremists.
优质	镇上的面粉场主以you1zhi4面粉著称。	The town miller was famous for his excellent flour.
指南	这本书名为《美国文学zhi3nan2》。	This book is titled An Introduction to American Literature.
随心所欲	你总是sui2 xin1 suo3 yu4而不考虑我们的情感。	You always follow your own inclination instead of thinking of our feelings.
征兆	这次暴动可看作是政治上不稳定的zheng1zhao4。	The riot can be considered a symptom of political instability.
首相	他的演讲风格是模仿shou3xiang4的.	His style of public speaking is imitative of the prime minister.
大蒜	你尝得出炖肉里有da4suan4味儿吗?	Can you taste the garlic in this stew?
奇特	qi2te4，古怪具有特别的性质或状态	The quality or state of being peculiar.
怨恨	他无动於衷使她心中的yuan4hen4火上加油.	His indifference was a fuel to her hatred.
伏特	伏安法功率单位，等于一fu2te4和一安培的乘积，等于一瓦特	A unit of electric power equal to the product of one volt and one ampere, equivalent to one watt.
找寻	形而上学，等于为我们本能地相信的东西zhao3xun2无谓的理由。	Metaphysics is the finding of bad reasons for what we believe on instinct.
看样子	我看你的新助手不错－－她kan4 yang4zi5很能干。	I like the look of your new assistant she should do very well.
报导	空难事件中有些人大难不死被新闻界广泛bao4dao3。	The miraculous survival of some people in the air crash was widely reported by the press.
各地	你应该多到ge4di4走走以增广见识.	You should broaden your experience by travelling more.
着陆	一架飞机在机场zhuo2lu4。	An airplane alighted on the airdrome.
火力	士兵们遭到近距离的huo3li4射击。	The soldiers got fired into at close quarters.
